id_marca;marca
1;ASRock
2;ASÚS
3;Colorful
4;Gigabyte
5;MSI
6;Intelaid
7;Corsair
8;ID-Cooling
9;Zalman
10;Adata
11;Kingston
12;Sandisk
13;Verbatim
14;Nisuta
15;Acer
16;Rock Space
17;Pacific Wireless
18;AeroCool
19;Airlive
20;Haxly
21;AMD
22;PNY
23;HellermanTyton
24;AOC
25;APC
26;Patriot
27;Intel
28;Generico
29;Aula
30;Sentey
31;Aureox
32;Alo
33;AZZA
34;Samsung
35;Shark Net
36;Liebert
37;BenQ
38;Redragon
39;Brother
40;HP
41;Kodak
42;Gabitel
43;Furukawa
44;GLC
45;Hubbell
46;Cisco
47;Xiaomi
48;IBM
49;Cooler Master
50;Crucial
51;CX
52;Dell
53;EMTEC
54;Lexar
55;D-Link
56;LG
57;Lite On
58;Eaton
59;Edifier
60;Epson
61;EVGA
62;Fifine
63;Forza
64;TRV
65;FALCOM
66;Gamemax
67;Genius
68;Gamer Storm
